Year,Compant,Job Title,Annual Salary,Location,Years of Experience,Gender,Masters Degree,Bachelors Degree,Doctorate Degree,Highschool,Some College,Education
2021,Amazon,Data Scientist,193000,"Seattle, WA",6,Male,0,0,1,0,0,PhD
2021,SquareSpace,Data Scientist,155000,"New York, NY",2,Female,0,1,0,0,0,Bachelor's Degree
2021,Priceline,Business Analyst,161000,"Norwalk, CT",9,Male,1,0,0,0,0,Master's Degree
2021,Amazon,Business Analyst,160000,"Seattle, WA",8,Female,1,0,0,0,0,Master's Degree
2021,Shopee,Data Scientist,120000,"Singapore, SG, Singapore",4,Male,1,0,0,0,0,Master's Degree
2021,McKinsey,Business Analyst,140000,"Chicago, IL",2,Male,0,1,0,0,0,Bachelor's Degree
2021,PwC,Data Scientist,90000,"Charlotte, NC",4,Male,1,0,0,0,0,Master's Degree
2021,PwC,Data Scientist,276000,"San Francisco, CA",7,Male,0,0,1,0,0,PhD
2021,Synchrony,Data Scientist,30000,"Hyderabad, TS, India",10,Male,1,0,0,0,0,Master's Degree
2020,Apple,Data Scientist,385000,"Cupertino, CA",6,Male,1,0,0,0,0,Master's Degree
2021,IBM,Data Scientist,101000,"Chicago, IL",1,Male,0,1,0,0,0,Bachelor's Degree
2021,Adobe,Data Scientist,350000,"San Francisco, CA",7,Male,1,0,0,0,0,Master's Degree
2021,The Hartford,Data Scientist,131000,"Hartford, CT",5,Male,1,0,0,0,0,Master's Degree
2021,illumina,Data Scientist,197000,"Foster City, CA",0,Female,0,0,1,0,0,PhD
2021,Morgan Stanley,Data Scientist,95000,"London, EN, United Kingdom",4,Male,1,0,0,0,0,Master's Degree
2020,Shutterstock,Data Scientist,125000,"New York, NY",1,Male,0,0,1,0,0,PhD
2020,Capital One,Data Scientist,150000,"New York, NY",4,Male,1,0,0,0,0,Master's Degree
2021,Accenture,Business Analyst,97000,"New York, NY",0,Male,0,1,0,0,0,Bachelor's Degree
2021,Capital One,Business Analyst,118000,"Washington, DC",6,Male,1,0,0,0,0,Master's Degree
2021,Facebook,Business Analyst,208000,"Austin, TX",6,Male,0,1,0,0,0,Bachelor's Degree
2021,ADP,Business Analyst,132000,"Jersey City, NJ",11,Male,1,0,0,0,0,Master's Degree
2021,Facebook,Data Scientist,211000,"Seattle, WA",5,Female,1,0,0,0,0,Master's Degree
2021,Bayer,Data Scientist,155000,"New York, NY",1,Male,1,0,0,0,0,Master's Degree
2020,Shopee,Data Scientist,56000,"Singapore, SG, Singapore",1,Male,1,0,0,0,0,Master's Degree
2021,Deloitte,Data Scientist,97000,"Orlando, FL",3,Female,1,0,0,0,0,Master's Degree
2021,NXP Semiconductors,Business Analyst,75000,"Austin, TX",2,Female,1,0,0,0,0,Master's Degree
2021,Facebook,Data Scientist,101000,"Singapore, SG, Singapore",3,Female,0,1,0,0,0,Bachelor's Degree
2020,Apple,Data Scientist,270000,"Cupertino, CA",5,Male,0,0,0,0,0,NA
2020,Booz Allen Hamilton,Data Scientist,98000,"Alexandria, VA",4,Male,0,0,0,0,0,NA
2020,Zalando,Business Analyst,75000,"Berlin, BE, Germany",10,Female,0,0,0,0,0,NA
